kpi,auc,accuracy,Precision,Recall,F1 score
data/kpi/kpi_0.csv,0.25293776527255113,0.9549675745784695,0.0,0.0,0.0
data/kpi/kpi_1.csv,nan,0.9938837920489296,0.0,0.0,0.0
data/kpi/kpi_2.csv,0.1452105803800719,0.8721321505047415,0.0,0.0,0.0
data/kpi/kpi_3.csv,0.5065646081992734,0.01623913942904427,0.0034576697401508803,1.0,0.006891510911558943
data/kpi/kpi_4.csv,0.2966843012479944,0.9631973140495868,0.0022026431718061676,0.043478260869565216,0.0041928721174004195
data/kpi/kpi_5.csv,0.553951622008322,0.4943706809534902,0.0827794861620871,0.6154129793510325,0.145929876715922
data/kpi/kpi_6.csv,0.5003679791255478,0.00585554113850351,0.0054584789482443,1.0,0.01085769141646529
data/kpi/kpi_7.csv,nan,0.8391693811074918,0.0,0.0,0.0
data/kpi/kpi_8.csv,0.3897898780252861,0.6444379205997922,0.002771690086373598,0.13564668769716087,0.005432379508559157
data/kpi/kpi_9.csv,0.8137931034482759,0.6972477064220184,0.005037783375314861,0.6666666666666666,0.01
data/kpi/kpi_10.csv,0.9375,0.11773700305810397,0.0017301038062283738,1.0,0.003454231433506045
data/kpi/kpi_11.csv,0.5001584212193908,0.002438583815028902,0.002303418996431959,1.0,0.0045962509012256675
data/kpi/kpi_12.csv,0.13057899211155852,0.8557005914746074,0.0430752453653217,0.0684575389948007,0.052878179384203486
data/kpi/kpi_13.csv,0.6022205206738132,0.041666666666666664,0.0015929908403026682,1.0,0.003180914512922465
data/kpi/kpi_14.csv,0.4353707737513607,0.029651956616946182,0.001987966178068757,0.8426966292134831,0.003966574994711234
data/kpi/kpi_15.csv,0.41065398249190094,0.11963524181108792,0.05974988420565076,0.9108138238573021,0.11214311859443632
data/kpi/kpi_16.csv,nan,0.7166342538571243,0.0,0.0,0.0
data/kpi/kpi_17.csv,0.8146836239671701,0.052151305057096246,0.0389677686806923,0.9411764705882353,0.07483704035428174
data/kpi/kpi_18.csv,0.4733064932910528,0.40682801808554364,0.002526178543780304,0.543859649122807,0.005028997850508983
data/kpi/kpi_19.csv,0.8010200907323397,0.5364519891149411,0.000447127207690588,0.8,0.0008937548877220423
data/kpi/kpi_20.csv,0.3447027272639071,0.020819690640171615,0.0017510310347211022,0.6785714285714286,0.003493048374123865
data/kpi/kpi_21.csv,0.6095345038791343,0.9490835030549898,0.0,0.0,0.0
data/kpi/kpi_22.csv,0.42503491702187673,0.3596329799642311,0.0010524185387573365,0.49056603773584906,0.0021003312060748043
data/kpi/kpi_23.csv,0.2997339094837389,0.35870792861983286,0.0025501168803570163,0.24,0.00504661106048924
data/kpi/kpi_24.csv,0.08897198465726584,0.9369378682931873,0.0014278914802475012,0.008695652173913044,0.002452984464431726
data/kpi/kpi_25.csv,0.501087636497919,0.935379241516966,0.08433734939759036,0.005164146071560309,0.0097323600973236
